,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
clust coef e-icoh delta,0.1914005082308189,0.2992878242591302,-0.14047620157368226,0.31413955695101287,0.2748138732911138,0.18724658215744472,-0.2141014102797796,-0.12558391358445023,-0.2344719910537028,-0.2687164765430234,-0.17751536098310292,0.3159704161888965
clust coef e-icoh gamma,-0.1136886598630537,-0.2620990658747078,-0.21048464758252478,-0.33815665125051203,-0.32852416535122575,0.2705820146199847,-0.15575157525846298,0.24323541634493778,0.27524206446321253,-0.22988592581400621,0.2903225806451613,-0.2692943424617958
clust coef e-icoh theta,0.15092357102058504,-0.18109099528538475,0.3176004708785128,0.13580254056113894,-0.17898380353647106,0.2451960623920487,-0.11393939401324146,-0.3076264464302474,-0.3087596479765278,-0.3465286696381355,-0.1573540706605223,0.27713011856935055
clust coef e-plv alpha,-0.2387244109105663,-0.3787103276305127,0.2983336437137864,-0.24342536018473518,-0.28246512787231454,0.15103130507036935,0.28034803498518224,-0.12465217009084191,-0.21223605849002333,-0.1861197149404447,-0.13604070660522277,0.23952323015191973
clust coef e-plv beta,0.1486009254902907,0.2592882876247224,-0.47833464129038905,-0.3157289234855385,0.1986801024583739,0.18759916482727718,0.2500090010621283,0.2447463517399783,0.2873043653669526,-0.30261136712749614,0.16081029185867896,-0.3273854974320009
clust coef e-plv delta,-0.24985375407656008,0.23894017499448614,-0.2712102057227915,-0.18007775116578298,0.17779697526809998,-0.18258745402037316,-0.17821782189768648,0.28294783497791914,-0.1808086022731808,-0.20520762509128457,0.23473502304147467,0.2723174042316857
clust coef e-plv gamma,-0.24061156040393047,-0.2934740777933484,-0.29052538126183336,-0.2967826652723831,-0.3958956083302474,0.3198176660144439,-0.22495049519530202,0.1978066254673865,0.25426524472873346,0.20943819092946536,0.2557603686635945,-0.32387874577892856
clust coef e-plv theta,-0.22234492107713633,0.22272414662918572,-0.22121798668056553,-0.2484457401906179,-0.4420051491397276,0.16526053424575016,0.2345514552975343,-0.17630097834464326,-0.29357474725637067,-0.3333836972123593,0.23948732718894009,0.28063687022242284
clust coef e-wpli alpha,-0.20410247597461612,-0.3086090376009621,0.1435221491555587,-0.13194265040586228,-0.22009351461962215,0.18447628975161837,0.23495949610187916,-0.11860842851067989,-0.13956006598857493,-0.1496562665256478,-0.16825076804915515,0.1883730250053819
clust coef e-wpli beta,0.23141775517984867,0.15091717065306273,-0.19605265784934833,-0.19085012434423484,0.2275680075438314,0.22222781990010657,0.13659765985450958,0.17773636696993175,0.2483725966880755,-0.279897257686787,-0.21289362519201233,-0.20097314646228318
