id,Tap_simon_congruent,betw cen e-icoh gamma_FC1,clust coef e-plv alpha_AF8,life time beta_C3,node str e-plv alpha_AF8,node str e-plv delta_FC5,source ampl alpha_LFusiformGyrus,waiting time gamma_FC1
sub-010269,367.0,0,0.209017223005264,159.882857142857,14.2459925844758,13.2849196850779,1.30116,111.8375
sub-010270,347.0,18,0.178850806029962,191.725,11.7634289941564,13.0431117898569,2.668293,167.136206896552
sub-010271,429.0,0,0.288352262837595,183.810869565217,18.5050547027868,17.3760609804156,1.689277,119.762790697674
sub-010273,495.5172414,0,0.278075730392618,143.251428571429,17.9265262323216,16.0341478028528,1.722623,119.290983606557
sub-010274,457.0,0,0.208879352767662,215.276470588235,13.8341569474252,14.6506943610101,6.891403,127.145098039216
sub-010292,465.5172414,2,0.190169788409598,159.21,12.7644217768082,16.2179224971633,4.640694,127.494736842105
sub-010294,451.0344828,0,0.271856057368802,199.675,17.9865490476053,15.2601513964996,2.296741,159.05
sub-010295,461.1111111,0,0.238345071598744,151.6,16.7257933996022,15.0287464816888,11.0751,111.985964912281
sub-010296,379.6551724,0,0.199453711115843,175.544736842105,12.6075256235324,12.6991420414141,7.753018,127.378048780488
sub-010297,544.137931,0,0.184540849141276,151.755555555556,11.8379380159306,11.1117766026968,2.510642,111.886764705882
sub-010298,431.0,0,0.183997294784228,151.75,12.8108191290759,17.3380540771806,1.267991,111.785087719298
sub-010299,375.0,4,0.257091195712765,159.196666666667,15.7140556166857,12.4460369741719,2.016277,127.295
sub-010300,495.5172414,0,0.248599115337976,175.645833333333,16.7980251128847,13.6479899656411,2.898945,119.724390243902
sub-010301,458.8888889,0,0.274978535237293,143.32,17.6400520417118,14.2022093747683,4.221363,103.089855072464
sub-010302,329.0,0,0.192610715309332,215.211538461538,12.0975723017091,12.9331236198182,0.6630561,151.145454545455
sub-010303,364.0,2,0.184691202257939,167.491071428571,12.476787773838,10.6189538957804,0.9927082,143.138
sub-010304,333.0,0,0.276492847709694,167.786842105263,17.0638949264171,11.5906153481686,5.076319,103.05
sub-010305,345.0,4,0.189592556049641,207.352173913043,12.1901486295602,9.76989065626674,2.92937,143.486363636364
sub-010306,393.0,0,0.209598544016001,191.776470588235,13.8840925598187,14.4678928228611,1.852345,135.54125
