id,Pts-2_subtest_3,approx entropy_TP8,betw cen e-plv theta_CPz,clust coef e-plv beta_FT8,lzc primitive_TP8,mod index theta-alpha_C5,mod index theta-beta_FC5,mod index theta-gamma_P3,node str e-plv beta_FT8,relative ampl delta_P7,skewness ampl theta_PO10,source ampl alpha_RParahippocampalGyrus,spectral entropy alpha_TP8,spectral entropy delta_P7
sub-010243,16,0.642961263501547,18,0.169001721912706,2.28654644922021,0.0004980473466204,0.0011790946461961,0.0012237821527429,12.0192144135168,1.66121389099145,0.0600206266681756,1.097838,0.485213052123121,0.190315869375227
sub-010244,13,0.62222701960783,4,0.152680583971875,2.37758290035883,0.0010661426637204,0.0016636137393542,0.0015596517889073,10.5922235262392,1.95968865215827,0.110142254570694,0.2386017,0.353933629195289,0.221289650171434
sub-010245,18,0.706808127196348,40,0.161320931099311,1.62221448716691,0.0005325195075666,0.0012415986003815,0.0013869179393807,10.8301996101029,1.08098984634856,0.053268343703261,0.8408455,0.47234620105494,0.138540653630732
sub-010246,18,0.662779604656702,0,0.155785988576837,1.39280090891423,0.0004788794668693,0.0012085459644223,0.0011543159011903,10.1897136573401,0.394351344400748,0.0382834707257362,1.068626,0.668608985784906,0.0605259033060803
sub-010247,13,0.694480428211789,0,0.160280955179109,1.49529283834244,0.0003824399847488,0.0011757425535112,0.0011532540809625,10.5242470642243,0.693063569692475,0.0832939677200926,2.398094,0.606674211061237,0.0951743566249717
sub-010248,21,0.688733825342229,0,0.143106450153129,1.85893478400913,0.0005893090620753,0.0011772540443477,0.0012697647232066,9.67634049811894,0.934053665226353,0.034034817977678,0.8988382,0.494789187772544,0.127174379975097
sub-010249,16,0.684029131919638,2,0.150791165779781,2.07321095180548,0.0006426319610819,0.001669866774384,0.0012782518575177,10.4421383933804,1.39782678952162,0.131641087932661,0.6467856,0.476215257848321,0.165758706546617
sub-010250,15,0.637822037293162,36,0.170514635692658,2.31057407140849,0.0006666922732895,0.0015459456792649,0.0017136159821379,11.6506354042936,1.44617442437817,0.0576200790355049,1.713683,0.456585944633325,0.167418137757764
sub-010251,15,0.644338404153047,34,0.147512707843144,2.25487125889873,0.0007638286031458,0.001423009116913,0.0014083035020715,9.6928123930509,2.76042410081741,0.108740703994512,0.1078505,0.386165074683081,0.274039378910667
sub-010254,17,0.685987941109565,2,0.150579543441952,2.01372935710463,0.0006012870403472,0.0012095471209566,0.0011388800310938,10.0135702107942,1.20819167463677,0.0758934550658242,0.7718892,0.55093679611469,0.148735021297093
