id,Tap_simon_congruent,betw cen e-icoh delta_POz,betw cen e-plv delta_C3,betw cen e-wpli gamma_P7,betw cen s-lps alpha_LInferiorTemporalGyrus,clust coef e-icoh theta_O1,clust coef e-plv alpha_AF8,clust coef e-plv delta_F2,clust coef e-plv theta_Fp1,dfa exponent theta_CP1,kurtosis ampl alpha_F1,microstate A_Group1_Map1_SegDensity,mod index delta-alpha_F3,node str e-icoh theta_C5,node str e-plv alpha_AF8,node str e-plv delta_F2,node str e-plv theta_Fp1,node str e-wpli alpha_AF8,node str e-wpli theta_CP3
sub-010061,384.0,24,16,2,0,0.0619257540024337,0.220219303497503,0.184912497487965,0.157719217932451,0.699015502186441,3.06085913999307,1.9132,0.0040487225374449,4.47299122398636,14.8418657130877,13.339967027573,10.6410902930883,1.87643443648116,1.18199725587559
sub-010062,591.6666667,98,0,4,14,0.0882711020923163,0.296840050026733,0.2089368558159,0.196822705829203,0.697579495052483,2.81644051612727,1.6366,0.0034363073578825,4.76490583452958,19.6067751395797,14.7674098637756,12.9394000951996,4.5165735779532,2.27724764258203
sub-010063,398.0,42,0,2,4,0.0609456478255999,0.296653800541341,0.231036878594519,0.191512489296795,0.741069984925005,2.68889400632336,1.0093,0.0031703810703082,3.30679467711127,19.7938779153147,16.4596331108483,13.0022613277056,3.35398926636054,0.590876866983879
sub-010064,523.3333333,56,200,0,920,0.0616473075456153,0.242739207249137,0.252404628040479,0.210854738658702,0.542657045852567,3.0758567550668,1.6815,0.0038679034748877,4.02842355601277,16.5260910307754,17.7508407257121,13.6145213964504,2.17135026629473,0.972694894707489
sub-010065,394.6153846,0,6,10,208,0.100312982665513,0.222096766586668,0.204155563606994,0.180432488901908,0.641236131647431,2.55810695567447,2.0153,0.0026018906030636,5.68701260352176,14.1394415390813,14.3685148369699,11.0365892054002,2.9010941152186,5.62125411338886
sub-010066,365.0,2,4,20,542,0.0925810795173642,0.297649956293863,0.199541200039726,0.252497077240628,0.697131983850398,2.88458896746269,1.8527,0.0039281939917247,4.92937813389699,20.3773875836475,14.1845978061278,18.0327257295988,5.09122956216084,4.25303316322874
sub-010067,325.0,14,14,94,10,0.0614823885781502,0.244589800353305,0.167716361680545,0.18003214843146,0.681307920358401,2.88914837940741,1.3015,0.0036342728725571,3.22980362980159,16.5221750710859,11.7065782153278,12.4327641877588,2.524283634702,1.03368272279396
sub-010068,400.0,12,0,98,0,0.0614656340885791,0.219155541917307,0.182800509346288,0.160970030704157,0.680272170880685,3.03658424940597,1.0499,0.0039353374144215,3.8842225825416,13.6460109336983,12.7028734550815,10.7697011520532,1.33783740808335,0.688698642403965
sub-010069,359.0,0,0,14,0,0.103465888220686,0.210865515660195,0.204345934310132,0.199216920694255,0.876045189001561,2.62042546954615,1.4915,0.0034249987607368,6.15216931418015,13.7348467684772,14.1592751595461,12.8781970407556,2.63345881542159,5.09963861893403
sub-010070,342.8571429,0,64,18,66,0.0692524066875465,0.184916770755147,0.203940391700851,0.153518329695054,0.743927180288188,2.98671143743077,1.8104,0.0035757995111557,4.32304730318546,12.9121027626134,14.0272896564204,9.55883433238223,1.15504514140705,1.24524841840948
