id,Tap_simon_incongruent,clust coef e-plv delta_F1,clust coef e-plv theta_FT7,clust coef e-wpli delta_P7,node str e-plv alpha_FT7,node str e-plv delta_F1,node str e-plv theta_FT7
sub-010192,365.0,0.182818410122121,0.16889970937811,0.0192305647007319,12.9266199659328,12.8204861614,11.081120861835
sub-010194,581.5384615,0.192866858350617,0.186067955756456,0.024811805832536,12.7905096412654,13.8297695313241,12.868466419119
sub-010195,379.0,0.178040568471757,0.17795896588145,0.016696902851831,11.7753636490623,12.6917535839595,12.3026888201394
sub-010196,385.0,0.179972395846044,0.182085665701189,0.0108555076236233,15.7362492827851,12.7666415763682,12.8939561272816
sub-010197,441.1111111,0.193032974447592,0.187216855989313,0.0299215284990428,11.7659763456905,13.9783790442385,12.891124795837
sub-010200,370.0,0.167564005007653,0.167145235628027,0.014509921177862,12.6650810096635,11.6665070627989,11.1482840898675
sub-010201,359.0,0.195718556752922,0.155515683835331,0.0443918658302633,11.3899466946885,13.2773539054555,10.4031383802995
sub-010202,523.8461538,0.210420674321242,0.177992296643455,0.0122213549056929,11.3614717891671,15.1003328242065,11.8267499757533
sub-010204,402.4137931,0.194905578723115,0.149065713493842,0.0124698051378622,10.529347942216,14.1883518735083,9.62380918754906
sub-010207,380.0,0.176475565425898,0.176364959258556,0.0099704469533961,11.702177769307,12.4825355134092,12.2493965593907
sub-010210,415.0,0.199835146514431,0.157246010723169,0.0164565419436131,12.9391389153153,14.5567603669965,10.1482406236072
sub-010213,412.0,0.179775993733519,0.153174231101446,0.0171280016364912,10.5092500318678,12.9332102189039,9.96929041476995
sub-010214,395.0,0.172628319270193,0.161038313487255,0.0216293266304875,10.2827081313513,11.7705716123276,10.6155052294499
sub-010215,476.7857143,0.189737369625962,0.154871517528349,0.0102793637368724,11.867039774339,13.417639650876,10.2643199732405
sub-010218,555.0,0.186677743948516,0.187162425490999,0.0153245511319623,13.8109083820866,13.2761474363086,12.2463686471972
sub-010220,480.0,0.220043558350212,0.224648577686065,0.0417730433659177,16.7388748537992,14.8847639547984,14.3491188853512
sub-010224,486.4285714,0.195881776872186,0.180233214246314,0.0227899637886996,11.7928070087636,13.4041935297675,11.8109080205035
sub-010226,494.4827586,0.211423289181426,0.186785425674816,0.0267460522661963,15.0949872322987,13.7756791604357,13.2265266571898
sub-010227,350.0,0.216145879762109,0.180128522600586,0.0361422644027728,13.5331815557999,14.9061941308249,12.0380646535879
sub-010228,474.0,0.20035486905226,0.185344312536089,0.0650186613005633,12.2358037903565,13.3482936277099,12.7969207376129
sub-010229,405.0,0.177485137828338,0.229876907221884,0.0174556656069264,16.064590622846,11.5373638320909,15.222350674063
sub-010230,367.0,0.169686443811295,0.157047411277755,0.0133265383789508,12.6290085608548,12.4776190889904,10.3545031312249
sub-010231,401.3793103,0.178964823694597,0.164798344928701,0.0145276060962987,12.3705984651213,13.043271758936,11.7081105119968
sub-010232,346.5517241,0.179752070070258,0.180538639263894,0.0289714609375066,11.8691523003028,12.2693580164541,12.5242574052229
sub-010233,466.0,0.214925390772779,0.176071351778671,0.0401851497417912,10.8568769410203,14.6491305769882,11.7763119485025
sub-010236,440.0,0.19324255105436,0.189304623907521,0.0195904179773726,18.3467013500419,13.7263300667432,12.9530803407526
sub-010238,438.0,0.176120440539769,0.164888232296248,0.0139577254561001,12.7440436819026,13.0223896326787,10.7783416535543
sub-010240,517.2413793,0.191686505593495,0.175034596175012,0.0099558694301567,13.4148645223329,13.5068605175895,11.8735946943957
sub-010241,391.0344828,0.21904013527634,0.178496979035502,0.0188551371181654,11.6230718568058,15.4803398696801,12.3598899392309
sub-010252,430.0,0.171588537337127,0.161514780625994,0.0177937921240012,11.768896558795,12.1807892897757,11.083451980098
sub-010256,507.7777778,0.238744745954539,0.168615560179205,0.0458448662995359,11.5725274351852,16.5779661948656,11.140097012239
sub-010260,499.2857143,0.191282366895759,0.185564017003497,0.0193068890118194,12.965274820544,13.6964898052487,12.889945256462
sub-010261,460.3448276,0.232746721699744,0.169893953224501,0.0235008614917892,12.7968008694514,16.2077505169395,11.2805104633826
sub-010262,429.0,0.187511158306714,0.165900627812251,0.0194332031569811,12.6044244899854,13.0996922788112,11.1869031443084
sub-010263,559.0,0.186040466846747,0.212085097246844,0.019229343614643,15.7780347705001,13.2090623705136,14.4292259560826
sub-010264,414.8275862,0.227609836787909,0.18359219000649,0.0318533233005873,11.7782983094479,15.1020101898082,12.4214479661618
sub-010265,403.9285714,0.188243392698419,0.170135364174247,0.019691002323622,14.8802378684025,13.0139701931648,11.8691064726147
sub-010266,465.5555556,0.214866513117207,0.162055754594931,0.0256028697273096,11.6781149144316,15.2216280124804,11.1854509284062
sub-010269,422.0,0.191988001589118,0.154928586967599,0.0151476079804004,12.522987584134,13.1206453297758,10.6999703540833
sub-010270,410.6896552,0.171270882954909,0.172724913574619,0.0158936061063511,12.0919884615333,12.5753701220162,12.1001063566485
sub-010271,406.5517241,0.302258913314232,0.335300108483313,0.0187040393411855,22.4757593201258,19.7717899778224,23.11546110166
sub-010273,522.8571429,0.225879318007487,0.188166397080374,0.0356712022174161,17.1559362349348,15.1522519781343,13.1629974742535
sub-010274,610.0,0.192972650535614,0.195908900641612,0.0182374074627837,15.4239786704772,13.4511382436917,13.3445597039349
sub-010292,376.0,0.206565796158014,0.161220259938894,0.0144760232654756,11.3490450518924,14.583835909627,10.2827287277889
sub-010294,441.0,0.179638993009985,0.21389795576893,0.0236993266265786,19.3083284833182,12.131718696153,14.4225624678747
sub-010295,448.8,0.188595872564894,0.188475699822114,0.025111012664664,13.6491764243157,13.1413343825929,13.1065411099979
sub-010296,394.137931,0.177466941432817,0.148732883441381,0.014008363373633,10.7127977220453,12.7439200136914,9.8442661403899
sub-010297,517.0,0.183943266454709,0.156066662218483,0.0156893827097847,14.1746811595671,13.4002516750157,10.9207187162547
sub-010298,455.1724138,0.225963474315039,0.188140542145828,0.0221766094044567,12.367445832281,15.1333924851087,12.9897423109811
sub-010299,376.0,0.181994250355385,0.175635755746264,0.0185309725303254,12.5701781499667,12.5407764454059,11.2557142313619
sub-010300,462.4137931,0.202976508341565,0.173765635133936,0.0181302567829401,12.1940652671021,14.0713990594245,11.4050055854841
sub-010301,404.0,0.179784713309563,0.185604270527262,0.0103881951198171,14.2783161353258,12.6702234730478,12.2346633111135
sub-010302,375.5555556,0.209631205668614,0.170830279032618,0.0236178371276462,12.4522759464787,14.8700261564555,11.240856787715
sub-010303,468.2142857,0.210360476425251,0.204556583808187,0.0186852649809569,12.4825221342819,14.7064857228817,14.455226242211
sub-010304,438.8888889,0.188003841568883,0.235518341183868,0.0160650541387067,14.3704338468682,13.7262783823279,14.2846830806897
sub-010305,343.4482759,0.180244601666315,0.16289026130904,0.013714097150253,12.9899472891007,13.3365701575782,10.8547513214908
sub-010306,435.0,0.198668267342908,0.19831246707368,0.0136917204408603,14.6737449958466,13.7871565666007,13.5305744868393
sub-010307,465.5555556,0.261064692907253,0.197385645822352,0.0404217332996669,12.4349960835892,18.0534664310342,13.5165531383739
sub-010308,390.0,0.199707006600481,0.183906471773142,0.0236631387094481,11.3969545138542,14.1783809212192,12.3160234698038
sub-010309,499.6551724,0.234851698175314,0.170162873807548,0.0291315223614812,17.0853271904951,16.35191319471,11.3282320646942
sub-010310,387.8571429,0.189064364206625,0.223854525166253,0.0220771694607001,20.6490301780675,12.6355092684015,16.385197447116
sub-010311,604.2857143,0.191268541077677,0.16289418059522,0.017894666350022,15.6542364080373,13.8568189103519,10.9960999643903
sub-010314,684.0,0.233559958811053,0.20790961553259,0.0207445065864641,20.1729002657428,16.3419790201658,14.8163521353769
sub-010315,350.0,0.193218410674297,0.15638930606889,0.0282395916341796,11.0502735406879,13.7592421185193,10.8375949697718
sub-010316,524.4827586,0.23029693890807,0.246396069580123,0.0287010503604474,18.3839888785635,15.7743550733584,17.5508940098263
sub-010317,379.6551724,0.210592594231318,0.16894697286652,0.0185329010911725,12.7929937716495,15.2068923388527,11.0542677391625
sub-010318,466.5517241,0.239388492836455,0.178613349056662,0.0200305766249987,15.2292248131685,16.8641787951691,12.4715269170886
sub-010319,382.7586207,0.16551716675822,0.175461950736653,0.010319464238758,13.3086255521887,11.884828822087,11.994950115796
sub-010321,490.0,0.210072622784736,0.173012955672078,0.0221287039265592,15.7750097792677,14.8126611260497,11.135829606078
