id,Tap_simon_incongruent,betw cen e-plv beta_T7,clust coef e-icoh theta_O1,clust coef e-plv alpha_Fp2,clust coef e-plv beta_Fp2,clust coef e-plv delta_F1,clust coef e-plv theta_Fp2,life time delta_P6,microstate D_Group1_Map4_MeanDur,node str e-icoh theta_O1,node str e-plv alpha_Fp2,node str e-plv beta_POz,node str e-plv delta_F1,node str e-plv theta_Fp2,skewness ampl delta_CP1,waiting time delta_FC4
sub-010076,492.0,44,0.0766230170097751,0.247927017056487,0.158693028524504,0.22152013720759,0.21737594335289,1095.4,59.864712,4.51444124485171,17.151870034206,10.553647005386,15.4651551385521,15.3486111275954,0.230248188032192,1255.175
sub-010079,574.137931,2,0.0719590526366404,0.234543682834241,0.190922796396579,0.189230735950539,0.172642510669712,1247.05,70.394536,4.633861781654,15.8505837898517,10.7453616614383,13.7960310804395,12.0209628070595,0.27281561731142,1239.45
sub-010080,477.0,2,0.0759126715853927,0.288081787708585,0.179472909444564,0.213915551111479,0.193727974687678,1143.35,70.813832,5.11749699156205,18.3293853683474,11.1798453689497,14.5791448760329,12.8679637601576,0.208455252393289,1295.45
sub-010083,553.0,0,0.0651945391845586,0.217087816078933,0.17543352572071,0.248344482488458,0.200372497082734,1255.15,62.758912,4.033679260073,14.0992304140607,11.0209764787051,17.8569524404362,13.6867172658761,0.258485878216844,1263.25
sub-010084,384.6428571,88,0.118992153157382,0.251668221185001,0.159500282111607,0.206113377666156,0.206460624729744,1151.1,58.437952,7.68973085489005,14.4484971705285,10.9168072495826,14.2970429626819,13.0983656299171,0.320535600597333,1359.25
sub-010094,691.0344828,60,0.0685103012244021,0.205089778886573,0.156382900915327,0.209351205280674,0.151439125197353,1151.4,63.913632,4.7389602405028,13.0359555442822,12.1738229963713,14.6305961654278,10.1875682797951,0.27488280171299,1159.425
sub-010126,362.0689655,12,0.087810284519934,0.261736006422812,0.148735405792543,0.183627084443812,0.171259899377546,1263.15,57.033848,5.57350169957861,16.1940165293349,10.6864137253659,12.8857134863877,10.379581105767,0.353082066638213,1383.75
sub-010134,414.0,8,0.0574435736745561,0.219750023664388,0.163433317288433,0.188525258831018,0.204492860979245,1031.25,62.962632,3.38428999417707,14.3415676797909,11.0623982141016,12.269647269578,14.6021334267024,0.25219990210506,1279.9
sub-010136,521.1111111,10,0.072889617108716,0.165199452432299,0.143241229389687,0.229470631665976,0.182715080562496,1111.35,61.673784,4.60934950196656,10.3171677091154,9.99617568751489,15.0342058464987,12.6732552822172,0.217851959389184,1247.15
sub-010137,607.0,116,0.0741138498624692,0.28135826830321,0.168750355708519,0.243960327538462,0.239469839786713,1095.25,62.25904,4.71175975016268,18.0100924082941,10.8535190052962,17.787844256523,16.5975523597343,0.266512549091719,1223.65
sub-010138,402.0,48,0.063886040839455,0.22651880688129,0.161401389553867,0.18095808606518,0.171035096191627,1055.75,59.600456,4.02071189019573,14.4240046216103,11.5938871948529,13.1291341849507,12.1832107068406,0.292670249412473,1327.55
sub-010141,428.0,32,0.0569350609235736,0.154110567642792,0.13693507563974,0.177611452823703,0.14634901431637,975.4125,68.43688,3.44122948624369,9.63446291867982,11.6563224019895,12.3294899375737,9.76600799295661,0.23488842169847,1223.8
sub-010142,454.0,32,0.069791782813374,0.182673090200881,0.168072569928549,0.20705146149816,0.178376160753484,1031.925,64.860624,4.57475227446547,10.9572656220341,12.2568353672213,13.7016455305671,11.6351963721118,0.29841718258798,1143.1
sub-010150,417.0,2,0.0596324404502713,0.191278230392121,0.140451161142052,0.178756109530321,0.14539478297885,1111.45,61.762496,3.57676507572444,12.4815517579165,10.2669200108585,13.1810812773286,9.78272930367127,0.243111023254226,1247.575
sub-010155,477.0,18,0.0597212661955685,0.225490734222243,0.166442715844539,0.175049734673733,0.15434503955253,1327.45,71.928448,3.5303772909297,13.8123708705891,9.94211436203864,12.8461911604703,9.92904517750168,0.269083950758244,1223.46666666667
sub-010157,401.0,10,0.0619369243846924,0.229122823227486,0.150279524579639,0.19206422407687,0.169583620738916,1039.65,64.846472,3.61004690111539,14.9714306014846,11.3053054898188,13.9195434319098,11.4560547454425,0.249799105895575,1239.8
sub-010162,435.0,12,0.0737196545101704,0.190543345775551,0.159179139995327,0.188113746366451,0.154598915693889,1335.35,56.62456,4.58099664721146,11.9787528166987,10.0308907298738,13.6354202036828,10.4838374980387,0.290768857224139,1327.65
sub-010163,520.3448276,2,0.0608910237332442,0.198352099338421,0.161244762378334,0.23870807268899,0.15543980395598,1039.6,63.344288,3.8025867818986,12.8418940321815,10.8650344790184,16.6134012580578,10.1500134276619,0.190677992464571,1247.3
sub-010164,464.0,2,0.0616299958688952,0.176003902755968,0.149901516621818,0.209661904248279,0.170316882776473,1239.0,63.116736,3.75601060293069,11.0144879447724,11.1441784196756,14.4667660515082,11.632317431246,0.254413138394703,1303.225
sub-010165,522.2222222,6,0.0919402302797717,0.214143444150412,0.153424322808205,0.173345284146431,0.169216029333781,999.55,60.359512,6.16545346178178,13.9295754325171,10.938416715714,12.5851161958511,11.0232145551367,0.24593620413119,1295.0
sub-010166,592.2222222,52,0.0620160199323766,0.234509081391098,0.190785106202341,0.233127598543267,0.223788543088676,1015.0,64.272472,3.50365598128352,16.3311744425229,10.9236854950437,15.4248740752585,14.9502304485611,0.232675964055571,1215.85
sub-010168,405.0,2,0.0585574449637594,0.175603978265839,0.156964379017891,0.172154018362561,0.160825107352121,1039.91666666667,62.013,3.26223226167676,10.4635804807692,10.8371738724676,11.6723102298767,10.479397451466,0.220233606775015,1223.4
sub-010170,888.9473684,110,0.0688124959726105,0.185746402443051,0.151255407834747,0.163188912370128,0.166949152784016,1103.8,57.416784,4.12049217185267,12.0855866199952,10.9902932492015,11.6133862535353,11.4088514978816,0.284247182392244,1183.65
sub-010176,391.0344828,60,0.0567172123865748,0.225671737238326,0.161123189851022,0.18014489211556,0.160377330786268,1215.4,62.143184,3.28342286102145,15.2250666646054,11.2076919492844,13.353064489056,11.2738116444014,0.26057639902467,1391.075
sub-010183,492.6923077,2,0.0537590246378173,0.163464790828383,0.13871847016657,0.195275224883777,0.143090036996349,1127.025,66.670464,3.21623888698809,9.4461670815579,11.2083808293979,14.0480777488533,9.5165179510274,0.253618823908905,1183.65
sub-010191,429.0,6,0.066951190563534,0.21734257003699,0.172456167670768,0.187753485598649,0.161967206040807,1055.15,66.69224,4.1252259421213,12.2417454450669,12.1279871100999,12.7886162486155,10.3975115733127,0.289720855965197,1279.275
sub-010192,365.0,42,0.0707193346820228,0.218709172044604,0.175740793417065,0.182818410122121,0.177893285439532,1167.6,59.156592,4.57283146543866,14.4708461659949,10.6144366814034,12.8204861614,12.7432319158313,0.201600004981362,1351.45
sub-010194,581.5384615,24,0.0525900879472661,0.249332231675146,0.170843559323033,0.192866858350617,0.210634773087824,1047.5,56.6244,3.0268844281958,16.4917979078751,10.5188527129992,13.8297695313241,15.2359923592426,0.211344978063878,1351.4
sub-010195,379.0,0,0.0578803503584222,0.173975928182825,0.170549662612945,0.178040568471757,0.163610180186724,991.15,63.183824,3.5543891526637,11.6009596072347,9.80150181516597,12.6917535839595,11.3644470770918,0.212534002251066,1215.95
sub-010196,385.0,20,0.0528089216175603,0.24132849550343,0.169465383750592,0.179972395846044,0.211033344179036,1063.8,62.949152,3.17179696404498,15.4958415074644,9.65835888648101,12.7666415763682,15.0469208289897,0.271811422215706,1271.8
sub-010197,441.1111111,28,0.0574033088888843,0.141612892528131,0.136382409704069,0.193032974447592,0.161111289588443,1023.35,62.575584,3.07480167837379,9.33668679841394,10.9776074941905,13.9783790442385,10.4329787795889,0.210658525034948,1063.75
sub-010200,370.0,0,0.0626881502782135,0.271502992105745,0.17243570429769,0.167564005007653,0.198364233011223,1159.45,57.88292,3.64216348130841,16.9488573643853,12.1336335128884,11.6665070627989,13.9511632415166,0.259619148879674,1207.9
sub-010201,359.0,14,0.0641218645207156,0.157496110996518,0.138496959511109,0.195718556752922,0.158591610708313,1095.8,56.54924,3.89550164779663,10.1871843201659,10.0456027016856,13.2773539054555,10.8491906825346,0.221266221643658,1239.2
sub-010202,523.8461538,40,0.0504909024353057,0.193993575381047,0.176484704316401,0.210420674321242,0.202274755419845,1023.35,66.413024,2.89183482618856,13.2596147424424,11.2875408546757,15.1003328242065,14.1307995876595,0.17191147431481,1063.98333333333
sub-010204,402.4137931,0,0.0662490077083864,0.210748799026691,0.148968623388811,0.194905578723115,0.166582005126472,1191.75,66.796616,4.19463776651574,13.8520826785704,9.73444281795449,14.1883518735083,11.2358295435127,0.354521036690662,1447.75
