id,Rwt_animal_categories,betw cen e-plv alpha_F6,betw cen e-plv beta_F4,betw cen e-plv theta_Pz,clust coef e-icoh alpha_T8,clust coef e-wpli alpha_CP4,dfa exponent delta_FT8,kurtosis ampl gamma_PO9,life time theta_C4,microstate B_Group1_Map2_SegDensity,microstate C_Group1_Map3_SegDensity,node str e-wpli alpha_C6
sub-010207,32.0,10,2,0,0.0809722453561022,0.0198614657213377,0.646627454013095,2.98438809536978,615.175,1.7617,2.3633,1.05522880754844
sub-010210,45.0,52,48,4,0.122379182188517,0.0550645227019519,0.554885509382372,3.09870219452359,591.216666666667,1.9867,2.365,5.13643256366655
sub-010213,49.0,16,18,2,0.0966417135664584,0.0718653763628947,0.53576389672431,2.94733591178087,543.425,2.0533,2.5467,3.37117020908395
sub-010214,58.0,38,14,12,0.0768225749017216,0.0339966322098913,0.532411579589554,3.04866817625357,711.3,2.0033,2.3133,1.94822702349777
sub-010215,45.0,16,12,6,0.0761440952993676,0.0390469148243443,0.545162630036176,2.98924686682978,623.75,1.9543,1.7012,1.66418080686252
sub-010218,51.0,0,0,0,0.108001731038905,0.089024121264771,0.600754591745115,3.05477974349703,631.75,1.205,2.6067,3.82014033777984
sub-010220,48.0,0,4,6,0.11496989198806,0.0859225076462497,0.593698781940313,3.05471615499271,663.65,1.056,2.6458,5.04438902821233
sub-010224,47.0,30,32,4,0.0610433175766617,0.0182603023086733,0.546529010592721,2.95031911730936,647.15,1.4683,2.3933,1.16910284254717
sub-010226,36.0,208,14,22,0.101745270915651,0.0843120695959688,0.673458171871273,2.97403232754074,615.375,1.812,2.5828,5.49004213449808
sub-010227,59.0,4,94,10,0.107695062078436,0.0870385697055385,0.555738158278226,3.02354279863993,543.39,1.755,2.3534,6.71036852531103
sub-010228,27.0,4,60,68,0.0600141101130629,0.0151801941624745,0.574750886060865,3.04584738680877,583.0125,1.902,2.6438,1.54911474618361
sub-010229,63.0,2,42,4,0.139311215122698,0.107580354751509,0.581718699010797,3.23931035972043,583.783333333333,0.7817,2.8167,7.59722209006964
sub-010230,38.0,4,0,12,0.154888063723437,0.149190109107511,0.636056817434013,3.11156363481017,647.025,1.6117,2.3567,4.08574025799627
sub-010231,39.0,70,14,14,0.101298185393882,0.0952044746082977,0.580551206043311,2.98717096530924,583.475,1.8493,2.2536,5.6077006718854
sub-010232,50.0,0,0,2,0.102896305341568,0.110881082310951,0.555617238748999,3.03938526472006,639.983333333334,1.5771,2.4216,5.84319975891247
sub-010233,76.0,304,80,0,0.104436088020242,0.0961552856639224,0.556513882373113,3.00529487645507,567.083333333333,1.4467,2.9617,7.70747781314234
sub-010236,43.0,74,24,0,0.108865404507588,0.103808437161849,0.551807044190332,2.96595100206287,551.883333333333,1.6506,2.9182,3.81259490961654
sub-010238,28.0,76,12,22,0.0942763624683992,0.0663963790946075,0.756705876695238,3.00286033768767,575.7,2.3385,2.6354,4.40291074023342
sub-010240,26.0,6,22,2,0.0986743447353103,0.0753701269543046,0.552906508110849,3.00605938858968,687.866666666667,1.8084,2.7985,4.00467510133326
sub-010241,36.0,8,14,20,0.0665212892241354,0.0142700345273445,0.682948468291267,3.00704463357942,687.84,1.9115,1.995,0.851181370856503
sub-010252,47.0,108,2,32,0.0839262463245471,0.0606378471946905,0.671785621331443,3.12676999207506,591.55,2.0087,2.8283,1.87733812279606
sub-010256,36.0,0,2,8,0.0912526721008976,0.0595633965790484,0.554816956690775,2.96175068797845,663.09,1.725,2.565,3.69189784720007
sub-010260,45.0,10,36,28,0.108388259399658,0.107799520911316,0.610573883026369,3.17480892049994,679.95,1.3742,2.2311,4.00936730846589
sub-010261,33.0,52,24,6,0.0689742828795463,0.0277858797934562,0.565134474733082,2.97917837347112,583.8875,1.7597,1.7377,1.55918107477817
sub-010262,42.0,16,4,4,0.0950007288566871,0.0664753404115563,0.590649132190602,2.97528564263904,559.725,1.8055,2.7657,4.27064691378702
sub-010263,32.0,0,26,44,0.107265146713456,0.0888500124395698,0.603961385069497,2.99164995929397,647.8,1.2868,2.2285,4.80909581881734
sub-010264,46.0,42,22,0,0.0792605420410318,0.0483421032770902,0.568720668675497,2.97544478427962,575.233333333333,1.51,2.1767,2.40506048915559
