id,Tap_working_memory,ampl total power gamma_C2,betw cen e-plv delta_Pz,clust coef e-plv delta_FC1,kurtosis ampl beta_CP6,kurtosis ampl delta_F6,life time beta_POz,life time theta_TP7,lyapunov exponent_CP6,mean ampl gamma_C2,mod index alpha-beta_Cz,node str e-plv delta_P3,range coef var beta_C4,skewness ampl gamma_C1,std ampl beta_C1,std ampl gamma_C2,waiting time beta_P2,waiting time gamma_P3,waiting time theta_O2
sub-010084,343.0,1.24972218609925,40,0.186959122932745,3.18536652087217,3.18105020988522,215.808333333333,647.775,5.20278360501538,2.49943741669636,0.0013210807756119,13.3747364064273,0.245431513016479,0.0123538920070871,19.4634582316401,2.64511004261284,247.25,103.800819672131,711.016666666667
sub-010094,1016.538462,0.216473174599459,0,0.238426605384962,3.10635876617228,2.76259571222524,263.008333333333,599.283333333333,9.0880661136612,0.432944684202298,0.0011661507003547,15.9267665358921,0.284045351425768,0.0199254957304723,3.67562201043304,0.421600367783977,263.221428571428,119.596428571429,663.85
sub-010126,594.6428571,0.478625660049878,14,0.200804597097878,2.97304555924285,3.12210542598733,159.64,535.183333333333,5.41283870323852,0.957248999528911,0.0009901944257957,12.7494276890554,0.197137408528378,0.0146808094321538,9.56178137665014,0.987438730587629,191.883333333333,103.482857142857,575.5625
sub-010134,541.0,0.214812619624977,44,0.205911966807414,3.31382444571211,2.86514000494346,191.17,679.7125,3.26248978766043,0.429624390740256,0.0011303472075072,13.2612336128428,0.332125535818598,0.0194424395812527,2.92216847281564,0.432564906997534,223.423809523809,119.646875,679.8625
sub-010136,663.75,0.215731379118978,0,0.247030056962028,3.05254289675789,2.93949043699585,183.502631578947,559.8,-0.818819966521529,0.431461678370431,0.0010844836044751,12.4440764517478,0.230740413551988,0.0191787208166927,2.1204525050909,0.440730009756306,215.1,111.433561643836,607.8875
sub-010137,1389.0,0.298903243364269,0,0.247795945298403,3.05514156622867,2.90704895625631,159.651923076923,535.964285714286,4.87386134248037,0.597803952033999,0.0010840356005237,15.0680648080834,0.196650627982026,0.0171866136704987,5.50278565588632,0.608785771649736,183.2375,103.012142857143,751.05
sub-010138,521.0,0.391526004247918,4,0.180193541018048,3.58662531680449,3.05837195732494,247.627777777778,583.483333333334,10.9261539158365,0.783046210282858,0.0012887488798121,11.182922064324,0.40494687281135,0.0107169556306272,13.8128547674011,0.8575990746948,319.221428571428,167.429166666667,671.5
sub-010141,386.0,0.857818678420251,22,0.173828432089968,3.27492020015343,2.80352936151461,191.025,615.266666666667,10.9510639789195,1.715628410644,0.0013662487773098,11.6639168622397,0.300232751406808,0.0074175234664281,15.1070635684042,1.73724149855233,215.84375,143.781818181818,679.6625
sub-010142,693.0,0.167672743421387,0,0.242668406694212,3.18009474934382,2.81916502806275,239.781818181818,607.85,2.86753286195413,0.335344680507411,0.0014360234076001,15.5481608524592,0.255610455152957,0.0237104669928826,2.04042199465638,0.34133707586735,223.494444444444,111.729166666667,703.125
sub-010150,657.8571429,0.490036458702451,58,0.17235396445491,3.06823662635186,2.78710811275919,191.127777777778,575.2,11.6214281806334,0.980069345317337,0.0011490612378382,11.0650532885709,0.227918184517119,0.0122024086621254,15.4275985786991,0.986562172660749,231.413888888889,135.044897959184,623.2
sub-010155,487.5,0.955059584884134,12,0.18348278193287,3.05400677333407,2.9152426536918,151.855172413793,583.09,9.78826976263144,1.91011111679054,0.001257954345767,12.8675752039257,0.513454356203774,0.0128397366399808,13.5580408146186,1.83388971453284,199.773684210526,103.830357142857,591.0
sub-010157,711.4285714,0.44744814023184,28,0.185898343946297,3.11965735364937,2.83746334339656,175.152777777778,551.75,14.4313909022649,0.894893844919301,0.0009964410568159,12.1848157214168,0.229651730517818,0.0107652159218453,10.9538166899901,0.941711899365405,215.5625,119.927,583.166666666667
sub-010162,765.0,0.138435653991093,8,0.188033492839592,3.12996477416867,2.71304419282483,159.654761904762,599.8125,7.39263119276198,0.276871069504219,0.0009160269043397,9.83779269311061,0.231928323789439,0.0235861936763565,3.0543474856833,0.287724288941788,215.120588235294,103.41935483871,807.050000000001
sub-010163,754.6153846,0.299791824219307,0,0.185533146209998,3.18243271192295,2.85997951287469,191.775,575.564285714286,3.5105124763744,0.599582079189065,0.001334951159837,13.5537107831057,0.294959058888377,0.0182288128455223,5.68886264516754,0.595015312368834,215.092105263158,127.007608695652,623.425
sub-010164,502.5,0.550376223321292,22,0.20863307947532,3.16692576003665,2.9262817694889,239.722222222222,615.183333333333,4.95389080621475,1.10075025647004,0.0012832104332278,12.0512200902674,0.278071818879605,0.0128078419352534,6.14918353358366,1.1862746173812,271.984615384615,119.061627906977,759.975
sub-010165,617.1428571,0.689283241579865,36,0.172429895033137,3.40016047915077,2.79672667579897,183.240909090909,791.250000000001,3.88021975973196,1.37856406817996,0.001183839658014,10.983361692974,0.333766769717341,0.0130280330919251,16.9150146639811,1.48436154012377,199.586363636364,135.561764705882,943.225
